Demograp hic status,Age,Ad group,Status,Conversio ns,Currency Code code,Cost _ conv,Bid adj,Clicks,Impressions,CTR,Avg CPC,Cost
Enabled,65+,"Painting
Company","Campaign
paused",0.0,CAD,0.0,,56.0,1232.0,4.55%,4.53,253.55
Enabled,55 - 64,"Eco-Friendl
y
Painting","Campaign
paused",6.0,CAD,65.98,,58.0,2249.0,2.58%,6.83,395.87
Enabled,45 - 54,"Painting
Company","Campaign
paused",0.0,CAD,0.0,,42.0,1722.0,2.44%,5.99,251.78
Enabled,35 - 44,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,12.0,281.0,4.27%,5.55,66.55
Enabled,Unknown,"Painting
Company","Campaign
paused",4.0,CAD,93.52,,64.0,3253.0,1.97%,5.84,374.07
Enabled,45 - 54,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,11.0,279.0,3.94%,5.51,60.56
Enabled,18 - 24,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,1.0,43.0,2.33%,5.88,5.88
Enabled,18 - 24,"Eco-Friendl
y
Painting","Campaign
paused",1.0,CAD,42.57,,10.0,511.0,1.96%,4.26,42.57
Enabled,65+,"Eco-Friendl
y
Painting","Campaign
paused",1.0,CAD,126.27,,23.0,1643.0,1.40%,5.49,126.27
Enabled,65+,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,12.0,299.0,4.01%,5.91,70.9
Enabled,Unknown,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,21.0,524.0,4.01%,2.35,49.45
Enabled,55 - 64,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,14.0,370.0,3.78%,5.06,70.9
Enabled,Unknown,"Eco-Friendl
y
Painting","Campaign
paused",3.0,CAD,94.19,,56.0,4404.0,1.27%,5.05,282.58
Enabled,35 - 44,"Eco-Friendl
y
Painting","Campaign
paused",1.0,CAD,318.27,,46.0,2401.0,1.92%,6.92,318.33
Enabled,55 - 64,"Painting
Company","Campaign
paused",3.0,CAD,62.55,,36.0,1454.0,2.48%,5.21,187.64
Enabled,35 - 44,"Painting
Company","Campaign
paused",3.0,CAD,106.22,,56.0,1522.0,3.68%,5.69,318.65
Enabled,45 - 54,"Eco-Friendl
y
Painting","Campaign
paused",4.0,CAD,52.11,,40.0,2208.0,1.81%,5.21,208.42
0.00%,,,,,,,,,,,,
10.34%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
6.25%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
10.00%,,,,,,,,,,,,
4.35%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
0.00%,,,,,,,,,,,,
5.36%,,,,,,,,,,,,
2.17%,,,,,,,,,,,,
8.33%,,,,,,,,,,,,
5.36%,,,,,,,,,,,,
10.00%,,,,,,,,,,,,
Enabled,25 - 34,"Cabinet
Painting","Campaign
paused",0.0,CAD,0.0,,5.0,196.0,2.55%,6.18,30.91
Enabled,18 - 24,"Painting
Company","Campaign
paused",1.0,CAD,176.83,,26.0,413.0,6.30%,6.8,176.83
Enabled,25 - 34,"Painting
Company","Campaign
paused",5.0,CAD,60.86,,52.0,1374.0,3.78%,5.85,304.29
Enabled,25 - 34,"Eco-Friendl
y
Painting","Campaign
paused",4.0,CAD,85.29,,58.0,1757.0,3.30%,5.88,341.16
"Total:
Ages",,,,36.0,CAD,109.37,,699.0,28135.0,2.48%,5.63,3937.17
"Total:
Campaign",,,,36.0,CAD,109.37,,699.0,28135.0,2.48%,5.63,3937.17
0.00%,,,,,,,,,,,,
3.85%,,,,,,,,,,,,
9.62%,,,,,,,,,,,,
6.90%,,,,,,,,,,,,
5.15%,,,,,,,,,,,,
5.15%,,,,,,,,,,,,
