Account,Campaign,Age,Gender,Impressions,Currency Code,Amount spent CAD,Attribution setting,Reporting starts,Reporting ends
,,,,74352,CAD,2111.66,,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,55-64,female,10870,CAD,370.40245918,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,45-54,female,10789,CAD,332.06427473,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,35-44,female,10448,CAD,231.34904421,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,55-64,male,7388,CAD,175.44169176,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,45-54,male,7346,CAD,177.65158711,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,65+,female,7180,CAD,272.08711501,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,35-44,male,7067,CAD,149.74290876,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,65+,male,4755,CAD,239.94863697,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,25-34,female,3807,CAD,65.5268969,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,25-34,male,2660,CAD,45.17786055,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,55-64,unknown,570,CAD,16.14923524,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,45-54,unknown,520,CAD,12.68939908,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,65+,unknown,511,CAD,15.34927312,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,35-44,unknown,373,CAD,7.20965858,7-day click or 1-day view,2024-01-01,2025-11-12
GreenTech Painting,GreenTech Leads Campaign,25-34,unknown,68,CAD,0.8699588,7-day click or 1-day view,2024-01-01,2025-11-12
