Day of the week,Hour of the day,Clicks,Impressions,CTR,Currency Code code,Avg CPC,Cost,Conversion Rate,Conversio ns,Cost _ conv
Friday,20.0,20,7230.0,0.28%,CAD,1.36,27.16,0.00%,0.0,0.0
Tuesday,17.0,89,16852.0,0.53%,CAD,1.22,108.18,5.62%,5.0,21.64
Thursday,16.0,173,27082.0,0.64%,CAD,0.95,165.11,8.09%,14.0,11.79
Saturday,13.0,627,80177.0,0.78%,CAD,0.73,457.0,4.78%,30.0,15.23
Monday,20.0,22,5511.0,0.40%,CAD,1.34,29.52,4.55%,1.0,29.52
Tuesday,10.0,237,34107.0,0.69%,CAD,1.21,286.91,10.55%,25.0,11.48
Wednesday,13.0,184,30852.0,0.60%,CAD,1.12,206.13,4.89%,9.0,22.9
Friday,11.0,628,79924.0,0.79%,CAD,0.78,488.43,5.57%,35.0,13.96
Friday,23.0,24,5330.0,0.45%,CAD,1.27,30.38,8.33%,2.0,15.19
Monday,12.0,330,47122.0,0.70%,CAD,1.04,343.51,7.27%,24.0,14.31
Saturday,17.0,42,10056.0,0.42%,CAD,1.23,51.57,0.00%,0.0,0.0
Thursday,11.0,304,47741.0,0.64%,CAD,0.97,293.42,10.74%,32.64,8.99
Monday,14.0,261,35863.0,0.73%,CAD,1.05,274.85,7.66%,20.0,13.74
Tuesday,11.0,385,49564.0,0.78%,CAD,1.1,424.22,6.23%,24.0,17.68
Friday,18.0,69,16275.0,0.42%,CAD,1.16,79.8,13.04%,9.0,8.87
Tuesday,14.0,116,27729.0,0.42%,CAD,1.28,147.95,5.60%,6.5,22.76
Thursday,22.0,33,4727.0,0.70%,CAD,0.96,31.67,6.06%,2.0,15.84
Tuesday,12.0,258,43339.0,0.60%,CAD,1.09,280.79,10.47%,27.0,10.4
Saturday,10.0,115,10196.0,1.13%,CAD,0.97,112.06,9.57%,11.0,10.19
Tuesday,21.0,50,7374.0,0.68%,CAD,0.93,46.45,0.00%,0.0,0.0
Wednesday,22.0,42,8952.0,0.47%,CAD,0.63,26.36,4.76%,2.0,13.18
Monday,13.0,313,42600.0,0.73%,CAD,1.03,323.62,6.39%,20.0,16.18
Wednesday,11.0,263,43259.0,0.61%,CAD,1.14,300.36,9.51%,25.0,12.01
Tuesday,9.0,40,4519.0,0.89%,CAD,1.56,62.37,20.00%,8.0,7.8
Tuesday,16.0,164,22686.0,0.72%,CAD,1.07,176.17,4.27%,7.0,25.17
Saturday,22.0,18,4750.0,0.38%,CAD,1.46,26.21,11.11%,2.0,13.1
