"Day of the
week","Hour of
the day",Clicks,Impr.,CTR,"Currency
code",Avg. CPC,Cost,Conv. rate,"Conversio
ns","Cost /
conv."
Saturday,7.0,0,49.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Sunday,19.0,2,147.0,1.36%,CAD,2.02,4.03,0.00%,0.0,0.0
Wednesday,13.0,8,299.0,2.68%,CAD,7.58,60.65,0.00%,0.0,0.0
Sunday,23.0,3,79.0,3.80%,CAD,1.82,5.47,0.00%,0.0,0.0
Saturday,4.0,0,20.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Friday,0.0,0,108.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Thursday,7.0,1,40.0,2.50%,CAD,2.38,2.38,0.00%,0.0,0.0
Saturday,9.0,4,239.0,1.67%,CAD,3.72,14.87,0.00%,0.0,0.0
Thursday,0.0,6,117.0,5.13%,CAD,2.1,12.57,0.00%,0.0,0.0
Friday,19.0,0,88.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Monday,0.0,4,112.0,3.57%,CAD,4.28,17.11,0.00%,0.0,0.0
Sunday,18.0,2,159.0,1.26%,CAD,1.98,3.96,0.00%,0.0,0.0
Thursday,1.0,3,61.0,4.92%,CAD,2.76,8.29,0.00%,0.0,0.0
Thursday,15.0,7,231.0,3.03%,CAD,5.09,35.62,0.00%,0.0,0.0
Sunday,3.0,2,25.0,8.00%,CAD,5.82,11.63,0.00%,0.0,0.0
Thursday,17.0,4,192.0,2.08%,CAD,4.6,18.4,0.00%,0.0,0.0
Wednesday,2.0,1,44.0,2.27%,CAD,6.89,6.89,0.00%,0.0,0.0
Monday,10.0,13,560.0,2.32%,CAD,6.96,90.48,0.00%,0.0,0.0
Monday,6.0,0,19.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Tuesday,7.0,1,36.0,2.78%,CAD,3.84,3.84,0.00%,0.0,0.0
Saturday,13.0,15,387.0,3.88%,CAD,8.55,128.31,6.66%,1.0,128.36
Sunday,11.0,8,505.0,1.58%,CAD,5.34,42.69,0.00%,0.0,0.0
Tuesday,10.0,10,416.0,2.40%,CAD,6.69,66.91,10.00%,1.0,66.91
Wednesday,11.0,15,571.0,2.63%,CAD,10.16,152.42,10.00%,1.5,101.62
Sunday,7.0,0,28.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Monday,15.0,8,334.0,2.40%,CAD,3.41,27.28,0.00%,0.0,0.0
Sunday,15.0,7,377.0,1.86%,CAD,8.05,56.38,0.00%,0.0,0.0
Tuesday,11.0,14,596.0,2.35%,CAD,6.18,86.5,7.14%,1.0,86.5
Saturday,16.0,4,254.0,1.57%,CAD,5.03,20.13,0.00%,0.0,0.0
Thursday,18.0,4,178.0,2.25%,CAD,5.4,21.61,25.00%,1.0,21.61
Tuesday,2.0,0,39.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
Thursday,21.0,3,76.0,3.95%,CAD,3.03,9.09,0.00%,0.0,0.0
Tuesday,23.0,2,50.0,4.00%,CAD,1.38,2.76,0.00%,0.0,0.0
Thursday,14.0,9,278.0,3.24%,CAD,5.17,46.51,0.00%,0.0,0.0
Thursday,8.0,0,129.0,0.00%,CAD,0.0,0.0,0.00%,0.0,0.0
